Begin Date,Begin Time,End Time,Vehicle Location,Vehicle Type,Vehicle Characteristics,Transaction Characteristics,Bikeway Users Displaced,LZ Space Avail,Occupied while idle?,CNS?,TNC?,Notes,Duration
8/22/2019,1:28:51 PM,2:03:51 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:35:00
8/22/2019,1:34:21 PM,1:34:31 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:10
8/22/2019,1:40:43 PM,1:41:05 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:22
8/22/2019,2:04:41 PM,3:28:10 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,1:23:29
8/22/2019,2:06:00 PM,2:08:24 PM,SB bike lane,Car,,,1,,FALSE,FALSE,FALSE,,0:02:24
8/22/2019,2:10:11 PM,2:13:41 PM,SB bike lane,Delivery Van (< 20 feet),,,0,,FALSE,FALSE,FALSE,,0:03:30
8/22/2019,2:15:40 PM,2:16:14 PM,SB bike lane,Car,,,0,,FALSE,FALSE,FALSE,,0:00:34
8/22/2019,2:18:49 PM,2:19:00 PM,SB bike lane,Pickup or SUV,,,0,,FALSE,FALSE,FALSE,maintentance,0:00:11
8/22/2019,2:31:02 PM,14:31:13,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:11
8/22/2019,2:32:15 PM,3:17:08 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:44:53
8/22/2019,2:34:10 PM,2:34:26 PM,SB bike lane,Car,Blinkers on,,0,,FALSE,FALSE,FALSE,,0:00:16
8/22/2019,2:39:38 PM,2:43:11 PM,SB bike lane,Delivery truck (> 20 feet),,,0,,FALSE,FALSE,FALSE,,0:03:33
8/22/2019,2:48:47 PM,2:57:33 PM,SB bike lane,Car,,,2,,FALSE,FALSE,FALSE,ENFORCEMENT - driver recieves ticket from cop on motorcycle,0:08:46
